LAT,LONG,ELEV,UID,GEOD,ELIPS,Easting,Northing,Elevation,H_Prec_Obs,V_Prec_Obs,Date_Obs,Time_Obs
35.1945093836,-106.661875812,1541.2137494855,11,,,462493.444159,465229.086814,1541.213749,0.011908,0.019166,11/19/2016,10:16:55 AM
35.1934887004,-106.6603029928,1544.4485013048,10,,,462636.20294,465115.266054,1544.448501,0.013382,0.019531,11/19/2016,10:06:37 AM
35.1931015057,-106.6600477338,1539.3218388059,9,,,462659.270787,465072.217095,1539.321839,0.020374,0.028906,11/19/2016,10:05:27 AM
35.1926776467,-106.6597646174,1534.4700532865,8,,,462684.858935,465025.090418,1534.470053,0.0206,0.028912,11/19/2016,10:03:41 AM
35.1920351085,-106.6602158487,1542.7129096929,7,,,462643.473279,464953.980572,1542.71291,0.013298,0.017696,11/19/2016,9:55:51 AM
35.1921908709,-106.6600415903,1543.0027571419,6,,,462659.413577,464971.19445,1543.002757,0.014058,0.018265,11/19/2016,9:54:37 AM
35.1923764881,-106.6597733807,1533.8768809797,5,,,462683.923195,464991.684993,1533.876881,0.018388,0.022952,11/19/2016,9:50:13 AM
35.1924502649,-106.6593664551,1534.0901581739,4,,,462721.013857,464999.716678,1534.090158,0.017195,0.022372,11/19/2016,9:48:49 AM
35.1923798797,-106.6593014366,1533.6822575844,3,,,462726.902657,464991.884187,1533.682258,0.018053,0.023437,11/19/2016,9:47:59 AM
35.1925326937,-106.6592982522,1538.9725588756,2,,,462727.262441,465008.835259,1538.972559,0.018856,0.023866,11/19/2016,9:45:55 AM
35.1925879258,-106.6592135608,1541.676117445,1,,,462735.000127,465014.930627,1541.676117,0.021571,0.026782,11/19/2016,9:44:05 AM
